"building","geometryTitle","constructionTimeStart","municipalicy"
"http://kulturnav.org/8ebc686f-7c71-48f3-8fab-f54c51880f32","Bergööska huset","1884","Hallsberg"
"http://kulturnav.org/1c781539-6f94-45fc-9adc-9e07b900c41a","Berns","1862","Stockholm"
"http://kulturnav.org/34e0ac42-49f0-4a4f-884f-5700ba0a0d6d","Bernska huset","1890","Sundsvall"
"http://kulturnav.org/efea071e-efcc-4d07-85ae-8b5c646966a7","Berzeliusskolan","1860","Norrköping"
"http://kulturnav.org/1167027e-ff0e-4681-9bbb-d188f198269d","Berzeliusskolan","1971","Linköping"
"http://kulturnav.org/fa47a876-8a07-4a6c-aff2-4fce78d1dfc3","Beskowska skolan","1886","Stockholm"
"http://kulturnav.org/8fe9b8c5-5e8b-4fb5-859f-9e8a40f88af4","Best Western Hotell Hudik","1984","Hudiksvall"
"http://kulturnav.org/3c8d985b-6fc5-4097-9c8b-39ecaa88c2fc","Best Western Motala Stadshotell","1925","Motala"
"http://kulturnav.org/06cd5aca-5eb4-4286-b01e-280bdf681e9c","Betelkapellet, Stockholm","1863","Stockholm"
"http://kulturnav.org/e47bb121-02a8-4a10-9606-c3e9092e762f","Betlehemskyrkan","1964","Göteborg"
"http://kulturnav.org/dcdf624a-b064-4567-ac43-0e8c4d22edd5","Billesholms kyrka","1918","Bjuv"
"http://kulturnav.org/2471330a-3971-436d-bf81-3c85ca322864","Biologiska museet","1893","Stockholm"
"http://kulturnav.org/616e65e1-2b70-433f-a19e-1c921b087a61","Biotopia","1909","Uppsala"
"http://kulturnav.org/f0c67682-82c2-4a0a-b2fd-286cb41a7bd6","Birger Jarls basar","1885","Stockholm"
"http://kulturnav.org/813f5d62-a926-4d51-a97c-00a960040f38","Birger Jarlspassagen","1894","Stockholm"
"http://kulturnav.org/fe95c844-9966-4f95-aae9-e418183e438d","Birgittakyrkan","1972","Sundsvall"
"http://kulturnav.org/b29363f7-7925-48bf-82b8-2e08060052e6","Biskopsgårdens kyrka","1958","Göteborg"
"http://kulturnav.org/0922fb1a-6d72-491d-b9a5-68c2af778dad","Bjertorp slott","1911","Vara"
"http://kulturnav.org/c986b059-8a0b-4b72-aa8f-c2724ae29ebc","Björneborgs kyrka","1956","Kristinehamn"
"http://kulturnav.org/94a80761-e990-4f08-8f4c-6a926843228c","Blackebergs tunnelbanestation","1952","Stockholm"
"http://kulturnav.org/aca564a9-dffa-4c8a-9c10-8052ca11c26d","Blackebergsskolan","1951","Stockholm"
"http://kulturnav.org/32828d9e-f255-4bbb-9016-6397a08b329f","Blanchs café","1839","Stockholm"
"http://kulturnav.org/d6490756-9449-4a31-b4fc-2fd43ec48eea","Bleketkyrkan","1962","Uddevalla"
"http://kulturnav.org/0667713b-5d0a-4b7b-b6d9-66ef08461f7c","Blekets kyrka","1928","Tjörn"
"http://kulturnav.org/3804f223-fa83-4129-92da-ff1ab92b682a","Blommensbergsskolan","1921","Stockholm"
"http://kulturnav.org/bdd523b7-2e94-4517-8a96-dc45dd976f02","Blomskogs kyrka","1929","Årjäng"
